Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,gi   gk,Type,TP,Line
C II,,924.087,10821.49,,3340000.0,0.0641,B,22.043587      -     23.385281,2s.2p.(3P*).3s  | 2P*  | 3/2,2s.2p.(3P*).3p       | 2D      | 5/2,4 - 6,,T5109LS,
C II,925.35,925.351,10806.72,15,2770000.0,0.0711,B,22.041235      -     23.381096,2s.2p.(3P*).3s  | 2P*  | 1/2,2s.2p.(3P*).3p       | 2D      | 3/2,2 - 4,,T5109LS,L21568
U I,926.788,,10789.95,10,,,,,|      |,|         |,,,,u10
C II,,926.978,10787.74,m(Fe II),552000.0,0.00711,B,22.043587      -     23.381096,2s.2p.(3P*).3s  | 2P*  | 3/2,2s.2p.(3P*).3p       | 2D      | 3/2,4 - 4,,T5109LS,L21568
U I,927.899,,10777.04,10,,,,,|      |,|         |,,,,u10
C II,932.065,932.062,10728.87,74*,3690000.0,0.0601,B,22.202225      -     23.532439,2s2.5g          | 2G   | 7/2,2s2.8h               | 2H*     | 9/2,8 - 10,,T7476,"L21568,L22145"
C II,932.065,932.068,10728.87,74*,84000.0,0.0011,D+,22.202234      -     23.532439,2s2.5g          | 2G   | 9/2,2s2.8h               | 2H*     | 9/2,10 - 10,,T7476,"L21568,L22145"
C II,932.065,932.067,10728.87,74*,3780000.0,0.059,B,22.202234      -     23.532440,2s2.5g          | 2G   | 9/2,2s2.8h               | 2H*     | 11/2,10 - 12,,T7476,"L21568,L22145"
C III,,933.357,10714.01,,10500000.0,0.229,B,39.973026      -     41.301394,1s2.2s.4p       | 1P*  | 1,1s2.2p.(2P*).3p      | 1D      | 2,3 - 5,,T5633,
C III,,936.094,10682.69,,15900000.0,0.627,B,38.648542      -     39.973026,1s2.2s.4s       | 1S   | 0,1s2.2s.4p            | 1P*     | 1,1 - 3,,T5633,
U I,938.848,,10651.36,10,,,,,|      |,|         |,,,,u10
C I,,940.11,10637.06,,120.0,2.2e-06,D,9.69545167    -     11.014279,2s2.2p.3d       | 3F*  | 2,2s2.2p.(2P*<3/2>).8p | 2[5/2]  | 3,5 - 7,,T5520LS,
C I,940.83086,940.83085,10628.903,30000000,29100000.0,0.64,B+,7.68476777    -      9.00258381,2s2.2p.3s       | 1P*  | 1,2s2.2p.3p            | 1D      | 2,3 - 5,,"T5520,T6070,T4828,u24",L12175c183
C III,,941.172,10625.05,,29900000.0,0.238,B,42.679450      -     43.996788,1s2.2s.5p       | 3P*  | 2,1s2.2s.6s            | 3S      | 1,5 - 3,,T5633LS,
C III,,941.465,10621.74,,17900000.0,0.238,B,42.679860      -     43.996788,1s2.2s.5p       | 3P*  | 1,1s2.2s.6s            | 3S      | 1,3 - 3,,T5633LS,
C I,,941.566,10620.61,,4200.0,6e-05,D,9.697491047   -     11.014279,2s2.2p.3d       | 3F*  | 3,2s2.2p.(2P*<3/2>).8p | 2[5/2]  | 3,7 - 7,,T5520LS,
C I,,941.588,10620.35,,280000.0,0.0012,D,9.71295903    -     11.029715,2s2.2p.4s       | 1P*  | 1,2s2.2p.(2P*<3/2>).8p | 2[1/2]  | 0,3 - 1,,T5520,
C III,,941.677,10619.35,,5980000.0,0.238,B,42.680157      -     43.996788,1s2.2s.5p       | 3P*  | 0,1s2.2s.6s            | 3S      | 1,1 - 3,,T5633LS,
C I,,944.129,10591.77,,50000.0,0.00042,D,9.69545167    -     11.008664,2s2.2p.3d       | 3F*  | 2,2s2.2p.(2P*<1/2>).8p | 2[1/2]  | 1,5 - 3,,T5520LS,
C I,,944.3,10590.0,,6000.0,8e-05,D,9.69545167    -    [11.0084],2s2.2p.3d       | 3F*  | 2,2s2.2p.(2P*<1/2>).8p | 2[1/2]  | 2,5 - 5,,T5520LS,
C I,,944.628,10586.18,,50000.0,0.0005,D,9.701759406   -     11.014279,2s2.2p.3d       | 3F*  | 4,2s2.2p.(2P*<3/2>).8p | 2[5/2]  | 3,9 - 7,,T5520LS,
C I,,945.8,10573.0,,46000.0,0.00044,D,9.697491047   -    [11.0084],2s2.2p.3d       | 3F*  | 3,2s2.2p.(2P*<1/2>).8p | 2[1/2]  | 2,7 - 5,,T5520LS,
C I,,945.781,10573.27,,50000.0,0.0011,D,9.71295903    -     11.023878,2s2.2p.4s       | 1P*  | 1,2s2.2p.(2P*<3/2>).8p | 2[5/2]  | 2,3 - 5,,T5520,
C III,,956.815,10451.34,,22500000.0,0.185,B,42.980156      -     44.275957,1s2.2s.5d       | 1D   | 2,1s2.2s.6p            | 1P*     | 1,5 - 3,,T5633,
C II,,957.344,10445.57,,3700000.0,0.0509,B,21.732863      -     23.027948,2s2.5p          | 2P*  | 1/2,2s2.7s               | 2S      | 1/2,2 - 2,,T7476,
C III,,957.657,10442.15,,714000.0,0.0295,C+,40.875778      -     42.170439,1s2.2p.(2P*).3p | 3P   | 0,1s2.2p.(2P*).3d      | 3P*     | 1,1 - 3,,T5633LS,
C II,,958.02,10438.19,,7390000.0,0.0509,B,21.733778      -     23.027948,2s2.5p          | 2P*  | 3/2,2s2.7s               | 2S      | 1/2,4 - 2,,T7476,
C III,,958.28,10435.36,,2140000.0,0.00982,C+,40.878392      -     42.172212,1s2.2p.(2P*).3p | 3P   | 1,1s2.2p.(2P*).3d      | 3P*     | 0,3 - 1,,T5633LS,
C III,,959.595,10421.06,,532000.0,0.00734,C+,40.878392      -     42.170439,1s2.2p.(2P*).3p | 3P   | 1,1s2.2p.(2P*).3d      | 3P*     | 1,3 - 3,,T5633LS,
C III,,960.044,10416.19,,30700.0,0.000303,B,40.009951      -     41.301394,1s2.2s.4f       | 1F*  | 3,1s2.2p.(2P*).3p      | 1D      | 2,7 - 5,,T5633,
C I,960.56648,960.56638,10410.5235,3500000,3100000.0,0.127,B,7.48039414    -      8.771134696,2s2.2p.3s       | 3P*  | 0,2s2.2p.3p            | 3S      | 1,1 - 3,,"T6070n,T4828n,u24",L12175c183
C III,,961.967,10395.37,,528000.0,0.0122,C+,40.878392      -     42.167254,1s2.2p.(2P*).3p | 3P   | 1,1s2.2p.(2P*).3d      | 3P*     | 2,3 - 5,,T5633LS,
C I,962.34214,962.34221,10391.3147,7500000,8600000.0,0.12,B,7.48277598    -      8.771134696,2s2.2p.3s       | 3P*  | 1,2s2.2p.3p            | 3S      | 1,3 - 3,,"T6070n,T4828n,u24",L12175c183
C III,,963.024,10383.96,,878000.0,0.00732,C+,40.882992      -     42.170439,1s2.2p.(2P*).3p | 3P   | 2,1s2.2p.(2P*).3d      | 3P*     | 1,5 - 3,,T5633LS,
C I,,963.027,10383.92,,98000.0,0.00097,B,9.73643528    -     11.023878,2s2.2p.3d       | 1F*  | 3,2s2.2p.(2P*<3/2>).8p | 2[5/2]  | 2,7 - 5,,T5520,
C I,,963.251,10381.51,,92000.0,0.00076,C+,9.631071843   -     10.918215,2s2.2p.3d       | 1D*  | 2,2s2.2p.7p            | 1P      | 1,5 - 3,,T5520,
C III,,965.412,10358.27,,1570000.0,0.0219,C+,40.882992      -     42.167254,1s2.2p.(2P*).3p | 3P   | 2,1s2.2p.(2P*).3d      | 3P*     | 2,5 - 5,,T5633LS,
U I,965.591,,10356.35,10,,,,,|      |,|         |,,,,u10
C I,966.10867,966.10862,10350.8025,9600000,12500000.0,0.105,B,7.48779869    -      8.771134696,2s2.2p.3s       | 3P*  | 2,2s2.2p.3p            | 3S      | 1,5 - 3,,"T6070n,T4828n,u24",L12175c183
C III,,969.914,10310.19,,753000.0,0.0149,C+,40.059463      -     41.337764,1s2.2p.(2P*).3p | 3D   | 2,1s2.2p.(2P*).3d      | 3F*     | 3,5 - 7,,T5633LS,
C III,,969.92,10310.13,,712000.0,0.0167,C+,40.056428      -     41.334721,1s2.2p.(2P*).3p | 3D   | 1,1s2.2p.(2P*).3d      | 3F*     | 2,3 - 5,,T5633LS,
C III,,970.223,10306.91,,847000.0,0.0154,C+,40.064295      -     41.342189,1s2.2p.(2P*).3p | 3D   | 3,1s2.2p.(2P*).3d      | 3F*     | 4,7 - 9,,T5633LS,
C III,,970.376,10305.28,,4400000.0,0.186,B+,32.199384      -     33.477076,1s2.2s.3p       | 3P*  | 0,1s2.2s.3d            | 3D      | 1,1 - 3,,"T5633,T2966,LS",
C III,,970.807,10300.71,,5930000.0,0.14,B+,32.200087      -     33.477213,1s2.2s.3p       | 3P*  | 1,1s2.2s.3d            | 3D      | 2,3 - 5,,"T5633,T2966,LS",
C III,,970.911,10299.61,,3290000.0,0.0465,B+,32.200087      -     33.477076,1s2.2s.3p       | 3P*  | 1,1s2.2s.3d            | 3D      | 1,3 - 3,,"T5633,T2966,LS",
C III,,971.776,10290.44,,7880000.0,0.156,B+,32.201709      -     33.477561,1s2.2s.3p       | 3P*  | 2,1s2.2s.3d            | 3D      | 3,5 - 7,,"T5633,T2966,LS",
C III,,972.041,10287.63,,1970000.0,0.0279,B+,32.201709      -     33.477213,1s2.2s.3p       | 3P*  | 2,1s2.2s.3d            | 3D      | 2,5 - 5,,"T5633,T2966,LS",
C III,,972.145,10286.53,,219000.0,0.00186,B+,32.201709      -     33.477076,1s2.2s.3p       | 3P*  | 2,1s2.2s.3d            | 3D      | 1,5 - 3,,"T5633,T2966,LS",
C III,,972.228,10285.65,,131000.0,0.00186,C+,40.059463      -     41.334721,1s2.2p.(2P*).3p | 3D   | 2,1s2.2p.(2P*).3d      | 3F*     | 2,5 - 5,,T5633LS,
C III,,973.594,10271.22,,93400.0,0.00133,C+,40.064295      -     41.337764,1s2.2p.(2P*).3p | 3D   | 3,1s2.2p.(2P*).3d      | 3F*     | 3,7 - 7,,T5633LS,
C III,,975.926,10246.68,,3660.0,3.73e-05,C,40.064295      -     41.334721,1s2.2p.(2P*).3p | 3D   | 3,1s2.2p.(2P*).3d      | 3F*     | 2,7 - 5,,T5633LS,
C I,,981.0985,10192.657,,5.9e-08,4.3e-15,C,0.0000000000  -      1.2637284,2s2.2p2         | 3P   | 0,2s2.2p2              | 1D      | 2,1 - 5,E2,T7851,
U I,982.169,,10181.54,10,,,,,|      |,|         |,,,,u10
U I,982.174,,10181.49,10,,,,,|      |,|         |,,,,u10
C I,982.7,982.6812,10176.04,,7.3e-05,1.8e-12,C+,0.0020354130  -      1.2637284,2s2.2p2         | 3P   | 1,2s2.2p2              | 1D      | 2,3 - 5,M1,T7851,L7803c185
C I,985.304,985.2951,10149.15,,0.00022,3.2e-12,C+,0.0053825826  -      1.2637284,2s2.2p2         | 3P   | 2,2s2.2p2              | 1D      | 2,5 - 5,M1,T7851,L7803c185
C III,,986.211,10139.82,,2550000.0,0.0223,B,41.301394      -     42.558572,1s2.2p.(2P*).3p | 1D   | 2,1s2.2s.5p            | 1P*     | 1,5 - 3,,T5633,
C II,,986.579,10136.04,,5540000.0,0.162,B,23.114048      -     24.370757,2s.2p.(3P*).3p  | 4P   | 1/2,2s.2p.(3P*).3d       | 4D*     | 3/2,2 - 4,,T5109LS,
U I,987.107,,10130.62,10,,,,,|      |,|         |,,,,u10
C II,,987.11,10130.58,,11100000.0,0.162,B,23.114048      -     24.370080,2s.2p.(3P*).3p  | 4P   | 1/2,2s.2p.(3P*).3d       | 4D*     | 1/2,2 - 2,,T5109LS,
C II,987.357,987.351,10128.05,64,9300000.0,0.204,B,23.116074      -     24.371800,2s.2p.(3P*).3p  | 4P   | 3/2,2s.2p.(3P*).3d       | 4D*     | 5/2,4 - 6,,T5109LS,L1176
C II,,988.172,10119.7,,7090000.0,0.104,B,23.116074      -     24.370757,2s.2p.(3P*).3p  | 4P   | 3/2,2s.2p.(3P*).3d       | 4D*     | 3/2,4 - 4,,T5109LS,
C II,988.542,988.5418,10115.91,89,13300000.0,0.26,B,23.118841      -     24.373054,2s.2p.(3P*).3p  | 4P   | 5/2,2s.2p.(3P*).3d       | 4D*     | 7/2,6 - 8,,T5109LS,L1176
C II,,988.705,10114.24,,2210000.0,0.0162,B,23.116074      -     24.370080,2s.2p.(3P*).3p  | 4P   | 3/2,2s.2p.(3P*).3d       | 4D*     | 1/2,4 - 2,,T5109LS,
C II,,989.5317,10105.79,,3970000.0,0.0583,B,23.118841      -     24.371800,2s.2p.(3P*).3p  | 4P   | 5/2,2s.2p.(3P*).3d       | 4D*     | 5/2,6 - 6,,T5109LS,
C II,,990.356,10097.38,,657000.0,0.00644,B,23.118841      -     24.370757,2s.2p.(3P*).3p  | 4P   | 5/2,2s.2p.(3P*).3d       | 4D*     | 3/2,6 - 4,,T5109LS,
C II,990.618,990.611,10094.71,170wh*,67000000.0,1.31,B+,20.950632      -     22.202225,2s2.4f          | 2F*  | 5/2,2s2.5g               | 2G      | 7/2,6 - 8,,T10276,L1176
C II,990.618,990.622,10094.71,170wh*,69500000.0,1.28,B+,20.950654      -     22.202234,2s2.4f          | 2F*  | 7/2,2s2.5g               | 2G      | 9/2,8 - 10,,T10276,L1176
C II,990.618,990.629,10094.71,170wh*,2490000.0,0.0366,B,20.950654      -     22.202225,2s2.4f          | 2F*  | 7/2,2s2.5g               | 2G      | 7/2,8 - 8,,T7476,L1176
U I,993.548,,10064.94,10,,,,,|      |,|         |,,,,u10
C I,,994.4095,10056.2193,,230000.0,0.01,C,9.17184612    -     10.41865840,2s2.2p.3p       | 1S   | 0,2s2.2p.4d            | 1P*     | 1,1 - 3,,"T5520,T6070",
C II,,995.011,10050.14,,1670000.0,0.0371,C+,26.751796      -     27.99786,2s.2p.(3P*).4p  | 4S   | 3/2,2s.2p.(3P*).5s       | 4P*     | 5/2,4 - 6,,T10528,
U I,996.684,,10033.27,10,,,,,|      |,|         |,,,,u10
C II,,999.603,10003.97,,3200000.0,0.048,C+,26.751796      -     27.99213,2s.2p.(3P*).4p  | 4S   | 3/2,2s.2p.(3P*).5s       | 4P*     | 3/2,4 - 4,,T10528,
C I,,1000.631,9993.69,,450000.0,0.0022,C,9.71295903    -     10.952019,2s2.2p.4s       | 1P*  | 1,2s2.2p.7p            | 1S      | 0,3 - 1,,T5520,
C II,,1001.95,9980.5,,4300000.0,0.0323,C+,26.751796      -     27.98922,2s.2p.(3P*).4p  | 4S   | 3/2,2s.2p.(3P*).5s       | 4P*     | 1/2,4 - 2,,T10528,
C I,,1005.05807,9949.6739,,70000.0,0.0018,D,9.33030708    -     10.56390942,2s.2p3          | 3P*  | 1,2s2.2p.5p            | 3P      | 2,3 - 5,,T5520LS,
C I,,1005.1886,9948.3819,,210000.0,0.0032,D,9.330467271   -     10.56390942,2s.2p3          | 3P*  | 2,2s2.2p.5p            | 3P      | 2,5 - 5,,T5520LS,
C I,,1006.365,9936.75,,180.0,3.9e-06,D,9.69545167    -     10.927451,2s2.2p.3d       | 3F*  | 2,2s2.2p.7p            | 3D      | 3,5 - 7,,T5520LS,
C I,,1006.54604,9934.9653,,70000.0,0.0011,D,9.33030708    -     10.56208579,2s.2p3          | 3P*  | 1,2s2.2p.5p            | 3P      | 1,3 - 3,,T5520LS,
C I,,1006.67696,9933.6733,,120000.0,0.0011,D,9.330467271   -     10.56208579,2s.2p3          | 3P*  | 2,2s2.2p.5p            | 3P      | 1,5 - 3,,T5520LS,
C I,,1006.76573,9932.7974,,90000.0,0.0042,D,9.33057587    -     10.56208579,2s.2p3          | 3P*  | 0,2s2.2p.5p            | 3P      | 1,1 - 3,,T5520LS,
C I,,1008.034,9920.3,,6000.0,0.0001,D,9.697491047   -     10.927451,2s2.2p.3d       | 3F*  | 3,2s2.2p.7p            | 3D      | 3,7 - 7,,T5520LS,
C I,,1008.056,9920.08,,89000.0,0.0023,C,9.71295903    -     10.942892,2s2.2p.4s       | 1P*  | 1,2s2.2p.7p            | 1D      | 2,3 - 5,,T5520,
C I,,1008.506,9915.66,,280000.0,0.0014,D,9.33030708    -     10.559692,2s.2p3          | 3P*  | 1,2s2.2p.5p            | 3P      | 0,3 - 1,,T5520LS,
C I,,1009.623,9904.687,,1200.0,3e-05,D,9.70715841    -     10.935183,2s2.2p.3d       | 3D*  | 1,2s2.2p.7p            | 3P      | 2,3 - 5,,T5520LS,
C I,,1009.9605,9901.377,,18000.0,0.00081,C,9.17184612    -     10.3994604,2s2.2p.3p       | 1S   | 0,2s2.2p.5s            | 1P*     | 1,1 - 3,,T6070,
C I,,1010.221,9898.83,,29000.0,0.00045,D,9.70715841    -     10.934457,2s2.2p.3d       | 3D*  | 1,2s2.2p.7p            | 3P      | 1,3 - 3,,T5520LS,
C I,,1010.41,9896.97,,9000.0,0.00014,D,9.69545167    -     10.922519,2s2.2p.3d       | 3F*  | 2,2s2.2p.7p            | 3D      | 2,5 - 5,,T5520LS,
C I,,1010.8251,9892.909,,80000.0,0.0007,D,9.69545167    -     10.922016,2s2.2p.3d       | 3F*  | 2,2s2.2p.7p            | 3D      | 1,5 - 3,,T5520LS,
C I,,1011.0657,9890.554,,18000.0,0.00027,D,9.708910751   -     10.935183,2s2.2p.3d       | 3D*  | 2,2s2.2p.7p            | 3P      | 2,5 - 5,,T5520LS,
C I,,1011.544,9885.87,,70000.0,0.0009,D,9.701759406   -     10.927451,2s2.2p.3d       | 3F*  | 4,2s2.2p.7p            | 3D      | 3,9 - 7,,T5520LS,
C I,,1011.665,9884.69,,90000.0,0.0008,D,9.708910751   -     10.934457,2s2.2p.3d       | 3D*  | 2,2s2.2p.7p            | 3P      | 1,5 - 3,,T5520LS,
C I,,1012.092,9880.52,,70000.0,0.0008,D,9.697491047   -     10.922519,2s2.2p.3d       | 3F*  | 3,2s2.2p.7p            | 3D      | 2,7 - 5,,T5520LS,
C I,,1012.1525,9879.934,,100000.0,0.0011,D,9.710227435   -     10.935183,2s2.2p.3d       | 3D*  | 3,2s2.2p.7p            | 3P      | 2,7 - 5,,T5520LS,
C I,1012.6635,1012.66402,9874.948,1600000,20000000.0,0.31,C+,8.53709962    -      9.76143658,2s2.2p.3p       | 1P   | 1,2s2.2p.3d            | 1P*     | 1,3 - 3,,"T5520,T6070,T4828",L12175c183
C III,,1012.87,9872.94,,6510000.0,0.0715,B,43.253126      -     44.477215,1s2.2s.5f       | 1F*  | 3,1s2.2s.6d            | 1D      | 2,7 - 5,,T5633,
C I,,1013.539,9866.42,,120000.0,0.0006,D,9.70715841    -     10.930438,2s2.2p.3d       | 3D*  | 1,2s2.2p.7p            | 3P      | 0,3 - 1,,T5520LS,
C II,,1014.713,9855.0,,200000.0,0.00463,B,23.381096      -     24.602961,2s.2p.(3P*).3p  | 2D   | 3/2,2s.2p.(3P*).3d       | 2D*     | 5/2,4 - 6,,T5109LS,
C II,,1015.825,9844.22,,2690000.0,0.0416,B,23.381096      -     24.601624,2s.2p.(3P*).3p  | 2D   | 3/2,2s.2p.(3P*).3d       | 2D*     | 3/2,4 - 4,,T5109LS,
U I,1016.069,,9841.85,50,,,,,|      |,|         |,,,,u10
C I,,1017.481,9828.19,,1500.0,3.3e-05,D,9.708910751   -     10.927451,2s2.2p.3d       | 3D*  | 2,2s2.2p.7p            | 3D      | 3,5 - 7,,T5520LS,
C II,,1018.2,9821.25,,2770000.0,0.0431,B,23.385281      -     24.602961,2s.2p.(3P*).3p  | 2D   | 5/2,2s.2p.(3P*).3d       | 2D*     | 5/2,6 - 6,,T5109LS,
C I,,1018.582,9817.57,,12000.0,0.00019,D,9.710227435   -     10.927451,2s2.2p.3d       | 3D*  | 3,2s2.2p.7p            | 3D      | 3,7 - 7,,T5520LS,
C II,,1019.319,9810.47,,295000.0,0.00306,B,23.385281      -     24.601624,2s.2p.(3P*).3p  | 2D   | 5/2,2s.2p.(3P*).3d       | 2D*     | 3/2,6 - 4,,T5109LS,
C I,,1020.143,9802.55,,2000.0,5e-05,D,9.70715841    -     10.922519,2s2.2p.3d       | 3D*  | 1,2s2.2p.7p            | 3D      | 2,3 - 5,,T5520LS,
C I,,1020.5657,9798.487,,10000.0,0.00016,D,9.70715841    -     10.922016,2s2.2p.3d       | 3D*  | 1,2s2.2p.7p            | 3D      | 1,3 - 3,,T5520LS,
C I,,1021.616,9788.41,,9000.0,0.00015,D,9.708910751   -     10.922519,2s2.2p.3d       | 3D*  | 2,2s2.2p.7p            | 3D      | 2,5 - 5,,T5520LS,
C I,,1022.0399,9784.354,,3300.0,3.1e-05,D,9.708910751   -     10.922016,2s2.2p.3d       | 3D*  | 2,2s2.2p.7p            | 3D      | 1,5 - 3,,T5520LS,
C I,,1022.726,9777.79,,2100.0,2.3e-05,D,9.710227435   -     10.922519,2s2.2p.3d       | 3D*  | 3,2s2.2p.7p            | 3D      | 2,7 - 5,,T5520LS,
C I,,1022.8598,9776.511,,2400.0,0.00011,C,9.17184612    -     10.38397899,2s2.2p.3p       | 1S   | 0,2s2.2p.5s            | 3P*     | 1,1 - 3,,T6070,
C IV,,1023.2,9773.3,,5570000.0,0.175,B,59.84792       -    [61.05965],1s2.7s          | 2S   | 1/2,1s2.8p               | 2P*     | 3/2,2 - 4,,T3127LS,
C IV,,1023.36,9771.7,,5570000.0,0.0875,B,59.84792       -    [61.05945],1s2.7s          | 2S   | 1/2,1s2.8p               | 2P*     | 1/2,2 - 2,,T3127LS,
C II,,1023.984,9765.78,,3680000.0,0.116,B,20.919793      -     22.130595,2p3             | 2P*  | 1/2,2s2.5d               | 2D      | 3/2,2 - 4,,T5109LS,
C II,,1025.927,9747.28,,4410000.0,0.104,B,20.922118      -     22.130626,2p3             | 2P*  | 3/2,2s2.5d               | 2D      | 5/2,4 - 6,,T5109LS,
C II,,1025.954,9747.03,,732000.0,0.0115,B,20.922118      -     22.130595,2p3             | 2P*  | 3/2,2s2.5d               | 2D      | 3/2,4 - 4,,T5109LS,
U I,1026.236,,9744.35,50,,,,,|      |,|         |,,,,u10
C I,,1027.672,9730.73,,153000.0,0.00173,B,9.73643528    -     10.942892,2s2.2p.3d       | 1F*  | 3,2s2.2p.7p            | 1D      | 2,7 - 5,,T5520,
C I,,1027.77991,9729.7096,,160000.0,0.0035,D,9.330467271   -     10.53679751,2s.2p3          | 3P*  | 2,2s2.2p.5p            | 3D      | 3,5 - 7,,T5520LS,
C I,,1028.696,9721.04,,87000.0,0.0014,C,9.71295903    -     10.918215,2s2.2p.4s       | 1P*  | 1,2s2.2p.7p            | 1P      | 1,3 - 3,,T5520,
C III,,1029.439,9714.03,,2800000.0,0.0445,B,38.435885      -     39.640271,1s2.2p.(2P*).3s | 1P*  | 1,1s2.2p.(2P*).3p      | 1P      | 1,3 - 3,,T5633,
C I,,1031.3097,9696.408,,120000.0,0.0032,D,9.33030708    -     10.532508,2s.2p3          | 3P*  | 1,2s2.2p.5p            | 3D      | 2,3 - 5,,T5520LS,
C I,,1031.4471,9695.116,,40000.0,0.0006,D,9.330467271   -     10.532508,2s.2p3          | 3P*  | 2,2s2.2p.5p            | 3D      | 2,5 - 5,,T5520LS,
C I,,1032.9127,9681.36,,70000.0,0.0011,D,9.33030708    -     10.5306428,2s.2p3          | 3P*  | 1,2s2.2p.5p            | 3D      | 1,3 - 3,,T5520LS,
C I,,1033.0506,9680.068,,4400.0,4.2e-05,D,9.330467271   -     10.5306428,2s.2p3          | 3P*  | 2,2s2.2p.5p            | 3D      | 1,5 - 3,,T5520LS,
C I,,1033.144,9679.192,,90000.0,0.0042,D,9.33057587    -     10.5306428,2s.2p3          | 3P*  | 0,2s2.2p.5p            | 3D      | 1,1 - 3,,T5520LS,
C II,,1034.196,9669.35,,30700.0,0.000492,B,20.844740      -     22.043587,2s2.4d          | 2D   | 3/2,2s.2p.(3P*).3s       | 2P*     | 3/2,4 - 4,,T5109LS,
C II,,1034.217,9669.15,,276000.0,0.00295,B,20.844765      -     22.043587,2s2.4d          | 2D   | 5/2,2s.2p.(3P*).3s       | 2P*     | 3/2,6 - 4,,T5109LS,
C II,,1036.229,9650.38,,305000.0,0.00246,B,20.844740      -     22.041235,2s2.4d          | 2D   | 3/2,2s.2p.(3P*).3s       | 2P*     | 1/2,4 - 2,,T5109LS,
C II,,1036.787,9645.18,,63000.0,0.002,D+,21.492405      -     22.688255,2s2.5s          | 2S   | 1/2,2s2.6p               | 2P*     | 3/2,2 - 4,,T7476,
C II,,1036.81,9644.97,,59000.0,0.001,D+,21.492405      -     22.688229,2s2.5s          | 2S   | 1/2,2s2.6p               | 2P*     | 1/2,2 - 2,,T7476,
C I,,1038.49543,9629.3154,,6600.0,0.00011,C,8.64039604    -      9.83427899,2s2.2p.3p       | 3D   | 1,2s2.2p.3d            | 3P*     | 1,3 - 3,,T6070,
C I,,1040.78612,9608.12202,,11000.0,0.00011,C,8.643023685   -      9.83427899,2s2.2p.3p       | 3D   | 2,2s2.2p.3d            | 3P*     | 1,5 - 3,,T6070,
C I,,1041.647034,9600.18094,,7400.0,0.00012,C,8.643023685   -      9.833294423,2s2.2p.3p       | 3D   | 2,2s2.2p.3d            | 3P*     | 2,5 - 5,,T6070,
C I,1045.277,1045.279841,9566.84,36000bl,21000.0,0.00025,C,8.647160399   -      9.833294423,2s2.2p.3p       | 3D   | 3,2s2.2p.3d            | 3P*     | 2,7 - 5,,T6070,L9405c184
C I,,1048.3893,9538.442,,55000.0,0.0009,B,9.631071843   -     10.8136879,2s2.2p.3d       | 1D*  | 2,2s2.2p.6p            | 1D      | 2,5 - 5,,T5520,
C I,,1049.838,9525.28,,16000.0,0.00037,D,9.833294423   -     11.014279,2s2.2p.3d       | 3P*  | 2,2s2.2p.(2P*<3/2>).8p | 2[5/2]  | 3,5 - 7,,T5520LS,
C II,,1050.718,9517.3,,73000.0,0.0012,D+,20.950632      -     22.130626,2s2.4f          | 2F*  | 5/2,2s2.5d               | 2D      | 5/2,6 - 6,,T10276,
C II,,1050.738,9517.12,,1480000.0,0.0183,B,20.950654      -     22.130626,2s2.4f          | 2F*  | 7/2,2s2.5d               | 2D      | 5/2,8 - 6,,T7476,
C II,,1050.746,9517.05,,1550000.0,0.0171,B,20.950632      -     22.130595,2s2.4f          | 2F*  | 5/2,2s2.5d               | 2D      | 3/2,6 - 4,,T7476,
C III,,1054.406,9484.01,,399000.0,0.02,B,39.401467      -     40.577334,1s2.2s.4p       | 3P*  | 0,1s2.2p.(2P*).3p      | 3S      | 1,1 - 3,,T5633LS,
C I,1054.41,1054.41346,9483.98,760000bl,800000.0,0.013,D,8.53709962    -      9.71295903,2s2.2p.3p       | 1P   | 1,2s2.2p.4s            | 1P*     | 1,3 - 3,,"T5520,T6070,T4828",L9405c184
C III,,1054.657,9481.76,,1200000.0,0.02,B,39.401746      -     40.577334,1s2.2s.4p       | 3P*  | 1,1s2.2p.(2P*).3p      | 3S      | 1,3 - 3,,T5633LS,
C I,,1054.853,9479.99,,440.0,4.4e-06,D,9.833294423   -     11.008664,2s2.2p.3d       | 3P*  | 2,2s2.2p.(2P*<1/2>).8p | 2[1/2]  | 1,5 - 3,,T5520LS,
C I,,1055.1,9478.0,,3900.0,7e-05,D,9.833294423   -    [11.0084],2s2.2p.3d       | 3P*  | 2,2s2.2p.(2P*<1/2>).8p | 2[1/2]  | 2,5 - 5,,T5520LS,
C III,,1055.19,9476.97,,1990000.0,0.0199,B,39.402339      -     40.577334,1s2.2s.4p       | 3P*  | 2,1s2.2p.(2P*).3p      | 3S      | 1,5 - 3,,T5633LS,
C I,,1055.738,9472.05,,7000.0,0.00011,D,9.83427899    -     11.008664,2s2.2p.3d       | 3P*  | 1,2s2.2p.(2P*<1/2>).8p | 2[1/2]  | 1,3 - 3,,T5520LS,
U I,1055.782,,9471.65,100,,,,,|      |,|         |,,,,u10
C I,,1055.9,9470.0,,12000.0,0.00033,D,9.83427899    -    [11.0084],2s2.2p.3d       | 3P*  | 1,2s2.2p.(2P*<1/2>).8p | 2[1/2]  | 2,3 - 5,,T5520LS,
