v	1-F	EW0	WLobs	WLvald	ID	Trans	cp	M
 4071.06	 0.107	  14	2456.36	2456.36	CO  	13CO2-0P22       	X  	B
 4070.90	 0.307	   8	2456.46	2456.47	CO  	13CO5-3R18       	X  	B
 4070.88	 0.354	   5	2456.47	2456.47	CN  	CN2-4P_{1}52.5   	X  	B
 4070.86	 0.334	 206	2456.49	2456.47	CO  	CO4-2P19         	X  	A
 4070.77	 0.284	 183	2456.54	2456.54	CO  	CO7-5R27         	X  	B
 4070.06	 0.192	 144	2456.96	2456.97	CO  	CO6-4R5          	X  	A
 4069.93	 0.269	 147	2457.05	2457.05	CO  	CO5-3P8          	X  	A
 4069.86	 0.220	  72	2457.09	2457.09	CO  	CO7-5R70         	X  	B
 4069.63	 0.076	  86	2457.22	2457.23	MgI 	                 	X  	B
 4069.59	 0.113	  61	2457.25	2457.25	MgI 	                 	X  	B
 4069.52	 0.244	  80	2457.29	2457.30	MgI 	                 	X  	A
 4069.11	 0.249	 136	2457.54	2457.54	CO  	CO7-5R26         	X  	A
 4068.84	 0.345	 206	2457.70	2457.70	CO  	CO3-1P29         	X  	A
 4068.57	 0.015	   3	2457.86	2457.86	CO  	13CO5-3R17       	X  	A
 4068.26	 0.050	   7	2458.06	2458.06	CO  	13CO3-1P12       	X  	B
 4068.21	 0.112	  32	2458.08	2458.09	SiI 	                 	X  	B
 4068.14	 0.175	  43	2458.12	2458.13	CO  	CO6-4R92         	X  	B
 4068.12	 0.181	  87	2458.14	2458.14	CO  	CO7-5R71         	X  	B
 4067.40	 0.276	 139	2458.57	2458.58	CO  	CO7-5R25         	X  	A
 4067.35	 0.194	  14	2458.60	2458.61	CO  	CO5-3R106        	X  	B
 4066.76	 0.205	 117	2458.96	2458.95	CO  	CO6-4R4          	X  	A
 4066.29	 0.132	  92	2459.24	2459.25	CO  	CO7-5R72         	X  	B
 4066.20	 0.072	  14	2459.30	2459.30	CO  	13CO5-3R16       	X  	B
 4066.09	 0.286	 211	2459.37	2459.37	CO  	CO2-0P38         	X  	A
 4066.00	 0.112	  14	2459.42	2459.43	CO  	13CO2-0P23       	X  	B
 4065.79	 0.344	 193	2459.54	2459.54	CO  	CO4-2P20         	X  	A
 4065.61	 0.363	 155	2459.65	2459.65	CO  	CO5-3P9          	X  	B
 4065.59	 0.358	 163	2459.67	2459.67	CO  	CO7-5R24         	X  	B
 4064.60	 0.030	  11	2460.27	2460.27	CO  	CO6-4R93         	X  	A
 4064.39	 0.119	  73	2460.39	2460.40	CO  	CO7-5R73         	X  	A
 4063.83	 0.081	   9	2460.73	2460.73	CO  	13CO3-1P13       	T  	B
 4063.76	 0.195	  11	2460.78	2460.78	CO  	13CO5-3R15       	T  	B
 4063.72	 0.311	 234	2460.80	2460.81	CO  	CO7-5R23         	T  	B
 4063.42	 0.191	 117	2460.98	2460.98	CO  	CO6-4R3          	S  	A
 4063.08	 0.375	 270	2461.19	2461.19	CO  	CO3-1P30         	S  	A
 4062.72	 0.019	   8	2461.40	       	U   	                 	X  	F
 4062.65	 0.013	   4	2461.44	2461.45	CO  	CO5-3R107        	X  	B
 4061.75	 0.298	 200	2461.99	2461.99	CO  	CO7-5R22         	S  	A
 4061.26	 0.294	 161	2462.29	2462.29	CO  	CO5-3P10         	X  	A
 4061.23	 0.247	  14	2462.31	2462.31	CO  	13CO5-3R14       	X  	B
 4060.06	 0.128	   8	2463.02	2463.02	FeI 	                 	X  	B
 4060.01	 0.208	  55	2463.05	2463.05	CaI 	                 	X  	B
 4059.99	 0.201	   8	2463.06	2463.05	CaI 	                 	X  	B
 4059.97	 0.152	  75	2463.07	2463.06	CO  	CO6-4R2          	X  	B
 4059.72	 0.384	 178	2463.22	2463.22	CO  	CO7-5R21         	X  	B
 4059.68	 0.375	 178	2463.25	2463.25	CO  	CO2-0P39         	X  	B
 4059.36	 0.064	  33	2463.44	2463.45	CO  	13CO3-1P14       	S  	A
 4058.66	 0.059	  37	2463.87	2463.87	CO  	13CO5-3R13       	S  	A
 4058.17	 0.125	  78	2464.17	2464.17	CO  	CO7-5R76         	S  	A
 4057.74	 0.082	  34	2464.43	       	U   	                 	D  	F
 4057.65	 0.306	 195	2464.48	2464.49	CO  	CO7-5R20         	D  	A
 4057.31	 0.145	  22	2464.69	2464.69	CO  	CO6-4R95         	D  	B
 4057.24	 0.376	 275	2464.73	2464.73	CO  	CO3-1P31         	D  	A
 4056.81	 0.303	 202	2464.99	2464.98	CO  	CO5-3P11         	S  	A
 4056.50	 0.125	  68	2465.18	2465.18	CO  	CO6-4R1          	Q6 	A
 4056.41	 0.091	  25	2465.24	2465.24	CO  	13CO6-4R50       	Q6 	B
 4056.38	 0.106	  25	2465.25	2465.26	CO  	13CO6-4R51       	Q6 	B
 4056.36	 0.108	  25	2465.26	2465.26	CO  	13CO6-4R49       	Q6 	B
 4056.27	 0.084	  22	2465.32	2465.33	CO  	13CO6-4R52       	Q6 	B
 4056.25	 0.087	  27	2465.33	2465.33	CO  	13CO6-4R48       	Q6 	B
 4056.09	 0.076	  20	2465.43	2465.43	CO  	13CO6-4R53       	Q7 	B
 4056.07	 0.096	  24	2465.44	2465.44	CO  	13CO6-4R47       	Q7 	B
 4056.00	 0.151	  25	2465.48	2465.48	CO  	13CO5-3R12       	Q7 	B
 4055.96	 0.221	 101	2465.51	2465.51	FeI 	                 	Q7 	B
 4055.93	 0.224	  74	2465.52	2465.53	CO  	CO7-5R77         	Q7 	B
 4055.82	 0.091	  20	2465.59	2465.59	CO  	13CO6-4R54       	Q7 	B
 4055.80	 0.067	  25	2465.61	2465.59	CO  	13CO6-4R46       	Q7 	B
 4055.64	 0.047	   5	2465.70	2465.70	CO  	13CO2-0P25       	Q5 	B
 4055.51	 0.235	   4	2465.78	2465.79	CO  	13CO6-4R55       	Q5 	B
 4055.48	 0.334	   5	2465.80	2465.79	CO  	13CO6-4R45       	Q5 	B
 4055.46	 0.393	 133	2465.81	2465.81	CO  	CO7-5R19         	Q5 	B
 4055.44	 0.365	 163	2465.82	2465.82	CO  	CO4-2P22         	Q5 	B
 4055.10	 0.068	  10	2466.03	2466.03	CO  	13CO6-4R56       	X  	B
 4055.08	 0.051	  19	2466.04	2466.03	CO  	13CO6-4R44       	X  	B
 4054.81	 0.065	  36	2466.21	2466.21	CO  	13CO3-1P15       	X  	B
 4054.65	 0.052	  10	2466.30	2466.31	CO  	13CO6-4R57       	X  	B
 4054.63	 0.059	  17	2466.32	2466.32	CO  	13CO6-4R43       	X  	B
 4054.09	 0.064	  18	2466.65	2466.65	CO  	13CO6-4R42       	X  	B
 4054.04	 0.018	  10	2466.67	2466.65	CO  	13CO6-4R58       	X  	B
 4053.61	 0.097	  69	2466.93	2466.94	CO  	CO7-5R78         	X  	B
 4053.52	 0.075	  24	2466.99	2466.99	CO  	CO6-4R96         	X  	B
 4053.48	 0.088	  10	2467.02	2467.02	CO  	13CO6-4R41       	X  	B
 4053.46	 0.066	   6	2467.03	2467.02	CO  	13CO6-4R59       	X  	B
 4053.30	 0.134	   5	2467.13	2467.13	CO  	13CO5-3R11       	X  	B
 4053.23	 0.366	 131	2467.17	2467.17	CO  	CO7-5R18         	X  	B
 4053.21	 0.345	 139	2467.18	2467.18	CO  	CO2-0P40         	X  	A
 4053.01	 0.015	   8	2467.30	2467.30	CO  	CO5-3R109        	X  	B
 4052.94	 0.063	  30	2467.35	2467.35	CO  	CO6-4R0          	X  	A
 4052.80	 0.070	  25	2467.43	2467.43	CO  	13CO6-4R40       	X  	B
 4052.78	 0.066	  12	2467.44	2467.44	CO  	13CO6-4R60       	X  	B
 4051.34	 0.366	 282	2468.32	2468.33	CO  	CO3-1P32         	X  	A
 4051.23	 0.183	  14	2468.39	2468.39	CO  	13CO6-4R38       	X  	B
 4051.20	 0.157	  60	2468.40	2468.40	CO  	CO7-5R79         	X  	B
 4051.18	 0.116	   7	2468.42	2468.42	CO  	13CO6-4R62       	X  	B
 4050.98	 0.107	   3	2468.54	2468.54	CO  	13CO4-2P4        	X  	B
 4050.91	 0.254	 170	2468.58	2468.58	CO  	CO7-5R17         	X  	A
 4050.53	 0.021	  14	2468.81	2468.81	FeI 	                 	X  	B
 4050.48	 0.046	   8	2468.84	2468.83	CO  	13CO5-3R10       	X  	B
 4050.37	 0.067	   9	2468.91	2468.91	CO  	13CO2-0P26       	Q5 	B
 4050.35	 0.093	  11	2468.92	2468.94	CO  	13CO6-4R37       	Q5 	B
 4050.26	 0.098	   5	2468.98	2468.98	CO  	13CO6-4R63       	Q5 	B
 4050.21	 0.283	  11	2469.00	2469.01	CO  	13CO3-1P16       	Q5 	B
 4050.17	 0.370	 288	2469.03	2469.03	CO  	CO4-2P23         	Q5 	A
 4049.65	 0.042	  21	2469.35	2469.35	CO  	CO6-4R97         	S  	A
 4049.36	 0.071	  47	2469.53	2469.53	CO  	13CO6-4R36       	D  	B
 4049.27	 0.029	   7	2469.58	2469.58	CO  	13CO6-4R64       	D  	B
 4048.73	 0.098	  57	2469.91	2469.91	CO  	CO7-5R80         	S  	A
 4048.53	 0.282	 199	2470.03	2470.04	CO  	CO7-5R16         	D  	A
 4048.39	 0.061	  21	2470.12	2470.12	MgI 	                 	Q10	B
 4048.37	 0.083	   6	2470.13	2470.12	MgI 	                 	Q10	B
 4048.35	 0.098	   4	2470.14	2470.12	MgI 	                 	Q10	B
 4048.32	 0.098	   1	2470.16	2470.12	MgI 	                 	Q10	B
 4048.30	 0.080	  18	2470.17	2470.14	MgI 	                 	Q10	B
 4048.28	 0.061	   6	2470.18	2470.14	MgI 	                 	Q10	B
 4048.26	 0.046	   6	2470.20	2470.14	MgI 	                 	Q10	B
 4048.23	 0.033	  18	2470.21	2470.16	MgI 	                 	Q10	B
 4048.21	 0.034	  14	2470.23	2470.16	CO  	13CO6-4R35       	Q10	A
 4048.19	 0.030	   4	2470.24	2470.23	CO  	13CO6-4R65       	Q10	B
 4048.08	 0.014	   8	2470.31	2470.31	CO  	CO5-3R110        	X  	B
 4047.79	 0.343	 266	2470.49	2470.50	CO  	CO5-3P13         	D  	A
 4047.65	 0.059	   7	2470.57	2470.57	CO  	13CO5-3R9        	D  	B
 4047.22	 0.045	  23	2470.83	2470.83	CO  	13CO6-4R34       	X  	A
 4047.11	 0.026	   7	2470.90	2470.90	CO  	13CO4-2P5        	X  	A
 4047.09	 0.024	   7	2470.91	2470.92	CO  	13CO6-4R66       	X  	B
 4046.71	 0.306	 190	2471.15	2471.15	CO  	CO2-0P41         	X  	A
 4046.19	 0.056	  42	2471.46	2471.47	CO  	CO7-5R81         	X  	B
 4046.08	 0.254	 134	2471.53	2471.54	CO  	CO7-5R15         	X  	A
 4046.03	 0.161	   7	2471.56	2471.55	CO  	13CO6-4R33       	X  	B
 4045.36	 0.132	  43	2471.97	2471.97	CO  	CO3-1P33         	X  	B
 4043.18	 0.160	   7	2473.30	2473.31	CO  	13CO4-2P6        	X  	B
 4043.11	 0.237	 152	2473.34	2473.34	CO  	CO5-3P14         	X  	B
 4043.04	 0.005	   7	2473.38	2473.39	CO  	CO5-3R111        	X  	B
 4042.77	 0.146	  10	2473.55	2473.55	MgI 	                 	X  	B
 4042.73	 0.266	 168	2473.58	2473.58	FeI 	                 	X  	A
 4042.64	 0.056	   7	2473.63	2473.63	CN  	CN2-4P_{2}54.5   	X  	B
 4042.10	 0.060	  30	2473.96	2473.96	CO  	13CO6-4R30       	S  	A
 4041.83	 0.136	  86	2474.13	2474.13	CO  	CO6-4P2          	Q4 	B
 4041.79	 0.127	   4	2474.15	2474.15	CO  	13CO6-4R70       	Q4 	B
 4041.74	 0.062	   7	2474.18	2474.18	CO  	13CO5-3R7        	Q4 	B
 4041.67	 0.026	  21	2474.22	2474.22	CO  	CO6-4R99         	Q4 	B
 4041.52	 0.020	   5	2474.32	2474.33	FeI 	                 	X  	B
 4041.49	 0.014	   5	2474.33	2474.34	MgI 	                 	X  	B
 4040.93	 0.277	 233	2474.68	2474.68	CO  	CO7-5R13         	Q4 	A
 4040.80	 0.141	  59	2474.76	2474.76	CO  	CO7-5R83         	Q4 	B
 4040.78	 0.113	  12	2474.77	2474.76	CO  	13CO3-1P18       	Q4 	A
 4040.64	 0.061	  12	2474.86	2474.86	CO  	13CO6-4R29       	Q4 	A
 4040.12	 0.302	 218	2475.17	2475.18	CO  	CO2-0P42         	D  	A
 4039.65	 0.062	  36	2475.46	2475.46	CO  	13CO2-0P28       	S  	A
 4039.41	 0.396	 276	2475.61	2475.61	CO  	CO4-2P25         	Q4 	B
 4039.34	 0.410	 273	2475.65	2475.67	CO  	CO3-1P34         	Q4 	B
 4039.16	 0.112	   5	2475.76	2475.76	CO  	13CO4-2P7        	Q4 	B
 4039.11	 0.012	  11	2475.79	2475.79	CO  	13CO6-4R28       	Q4 	B
 4038.96	 0.016	   6	2475.89	       	U   	                 	T  	F
 4038.87	 0.050	  25	2475.94	       	U   	                 	T  	F
 4038.71	 0.058	  37	2476.04	2476.05	CO  	13CO5-3R6        	T  	A
 4038.42	 0.322	 228	2476.22	2476.22	CO  	CO5-3P15         	D  	A
 4038.26	 0.275	 188	2476.31	2476.32	CO  	CO7-5R12         	D  	A
 4038.01	 0.163	  41	2476.46	2476.48	CO  	CO7-5R84         	T  	B
 4037.99	 0.202	  81	2476.48	2476.49	CO  	CO6-4P3          	T  	A
 4037.93	 0.065	   5	2476.52	2476.52	CO  	CO5-3R112        	T  	B
