v	1-F	EW0	WLobs	WLvald	ID	Trans	cp	M
 9442.91	 0.037	  12	1059.00	       	CN  	CN1-0Q_{1}85.5   	S  	F
 9439.77	 0.009	   1	1059.35	1059.35	CN  	CN3-2P_{1}59.5   	S  	B
 9437.62	 0.023	   6	1059.59	1059.59	CN  	CN2-1P_{2}68.5   	X  	A
 9437.09	 0.007	   1	1059.65	1059.65	CN  	CN3-2Q_{2}66.5   	X  	B
 9434.16	 0.013	   3	1059.98	1059.98	PI  	                 	X  	A
 9430.23	 0.015	   4	1060.42	1060.42	FeI 	                 	S  	B
 9429.81	 0.025	   7	1060.47	1060.47	CN  	CN2-1P_{1}69.5   	D  	A
 9429.60	 0.016	   2	1060.49	1060.49	CN  	CN3-2Q_{1}67.5   	D  	B
 9428.92	 0.052	  24	1060.57	1060.57	SiI 	                 	T  	A
 9428.29	 0.538	 231	1060.64	1060.63	SiI 	                 	T  	A
 9427.92	 0.064	  10	1060.68	1060.68	CN  	CN2-1Q_{2}76.5   	T  	A
 9426.77	 0.034	  10	1060.81	1060.81	YII 	                 	S  	B
 9424.52	 0.119	  32	1061.06	1061.06	TiI 	                 	S  	A
 9423.05	 0.036	  10	1061.23	1061.23	CN  	CN1-0P_{2}77.5   	S  	A
 9421.48	 0.014	   3	1061.40	1061.40	CN  	CN3-2P_{2}59.5   	T  	B
 9421.17	 0.117	   8	1061.44	1061.44	CN  	CN2-1Q_{1}77.5   	T  	B
 9421.06	 0.163	  49	1061.45	1061.46	FeI 	                 	T  	B
 9420.23	 0.017	   3	1061.55	       	U   	                 	S  	F
 9416.51	 0.191	  59	1061.96	1061.96	FeI 	                 	S  	A
 9415.83	 0.041	  14	1062.04	1062.04	CN  	CN1-0P_{1}78.5   	S  	A
 9414.94	 0.033	  10	1062.14	       	CN  	CN1-0Q_{2}85.5   	S  	F
 9414.21	 0.020	   5	1062.22	1062.21	CeII	                 	S  	F
 9412.95	 0.013	   3	1062.37	1062.38	CN  	CN3-2P_{1}60.5   	D  	B
 9412.80	 0.016	   3	1062.38	       	U   	                 	D  	F
 9411.23	 0.013	   3	1062.56	1062.55	FeI 	                 	S  	B
 9409.92	 0.008	   2	1062.71	1062.70	CN  	CN3-2Q_{2}67.5   	X  	B
 9408.77	 0.038	  13	1062.84	       	CN  	CN1-0Q_{1}86.5   	S  	F
 9406.84	 0.331	 117	1063.06	1063.06	SiI 	                 	D  	A
 9406.68	 0.195	   9	1063.07	1063.07	CN  	CN2-1P_{2}69.5   	D  	B
 9402.81	 0.014	   2	1063.51	1063.51	FeI 	                 	T  	B
 9402.66	 0.033	   4	1063.53	1063.53	CN  	CN3-2Q_{1}68.5   	T  	B
 9402.61	 0.039	   7	1063.54	1063.54	FeI 	                 	T  	E
 9401.56	 0.025	  10	1063.65	       	U   	                 	S  	F
 9399.52	 0.028	   9	1063.88	       	CN  	CN6-5R_{2}32.5   	S  	F
 9399.00	 0.022	   7	1063.94	1063.94	CN  	CN2-1P_{1}70.5   	S  	A
 9396.86	 0.025	   7	1064.19	1064.18	CN  	CN2-1Q_{2}77.5   	S  	A
 9393.99	 0.011	   3	1064.51	1064.50	CN  	CN3-2P_{2}60.5   	S  	B
 9393.57	 0.034	   9	1064.56	1064.56	FeI 	                 	S  	B
 9390.29	 0.038	   9	1064.93	1064.93	CN  	CN2-1Q_{1}78.5   	D  	A
 9390.23	 0.042	   3	1064.94	1064.94	TiI 	                 	D  	B
 9389.92	 0.014	   3	1064.97	       	CN  	CN6-5Q_{1}23.5   	S  	F
 9389.19	 0.131	  39	1065.05	1065.06	CrI 	                 	S  	A
 9388.67	 0.033	   9	1065.11	1065.11	CN  	CN1-0P_{2}78.5   	S  	A
 9388.30	 0.023	   3	1065.16	1065.16	FeI 	                 	T  	B
 9388.25	 0.024	   4	1065.16	1065.16	FeI 	                 	T  	B
 9388.09	 0.012	   1	1065.18	1065.18	FeI 	                 	T  	B
 9386.84	 0.020	   5	1065.32	1065.32	FeI 	                 	X  	B
 9385.44	 0.015	   3	1065.48	1065.47	CN  	CN3-2P_{1}61.5   	S  	B
 9385.02	 0.042	  11	1065.53	1065.53	FeI 	                 	S  	E
 9382.52	 0.003	   1	1065.81	1065.81	CN  	CN3-2Q_{2}68.5   	X  	B
 9381.58	 0.031	   9	1065.92	1065.91	CN  	CN1-0P_{1}79.5   	S  	A
 9380.59	 0.034	  10	1066.03	       	CN  	CN1-0Q_{2}86.5   	S  	F
 9379.65	 0.011	   2	1066.14	1066.15	TiI 	                 	X  	B
 9378.14	 0.018	   5	1066.31	1066.32	CoI 	                 	Q4 	B
 9377.41	 0.549	 238	1066.39	1066.39	SiI 	                 	Q4 	A
 9376.84	 0.362	 125	1066.46	1066.45	TiI 	                 	Q4 	A
 9376.73	 0.202	   6	1066.47	1066.47	FeI 	                 	Q4 	B
 9375.64	 0.017	   3	1066.59	       	U   	                 	X  	F
 9375.38	 0.023	   7	1066.62	1066.62	CN  	CN2-1P_{2}70.5   	D  	A
 9375.33	 0.020	   4	1066.63	1066.64	CN  	CN3-2Q_{1}69.5   	D  	B
 9374.49	 0.036	  11	1066.72	       	CN  	CN1-0Q_{1}87.5   	S  	F
 9373.14	 0.010	   2	1066.88	       	U   	                 	X  	F
 9371.73	 0.128	  16	1067.04	1067.03	FeI 	                 	D  	B
 9371.68	 0.153	  29	1067.04	1067.04	CrI 	                 	D  	A
 9370.64	 0.026	   5	1067.16	1067.17	FeI 	                 	D  	B
 9370.53	 0.021	   2	1067.17	       	U   	                 	D  	F
 9368.66	 0.022	   6	1067.39	1067.39	FeI 	                 	X  	B
 9367.78	 0.077	   8	1067.49	1067.49	CN  	CN2-1P_{1}71.5   	D  	B
 9367.62	 0.191	  53	1067.51	1067.51	CrI 	                 	D  	A
 9366.27	 0.010	   3	1067.66	1067.66	CN  	CN3-2P_{2}61.5   	T  	B
 9365.95	 0.078	  21	1067.70	1067.70	FeI 	                 	T  	B
 9365.54	 0.020	   8	1067.74	1067.74	CN  	CN2-1Q_{2}78.5   	T  	A
 9364.76	 0.021	   5	1067.83	       	U   	                 	X  	F
 9363.30	 0.175	  52	1068.00	1068.00	TiI 	                 	S  	A
 9362.47	 0.020	   4	1068.09	       	U   	                 	X  	F
 9360.34	 0.008	   1	1068.34	       	CN  	CN6-5P_{2}20.5   	X  	F
 9359.56	 0.019	   6	1068.43	1068.43	PI  	                 	S  	B
 9359.04	 0.028	   8	1068.49	1068.49	CN  	CN2-1Q_{1}79.5   	D  	A
 9358.67	 0.025	   6	1068.53	1068.53	FeI 	                 	D  	B
 9358.05	 0.223	  93	1068.60	1068.60	CI  	                 	D  	A
 9358.00	 0.193	   5	1068.60	1068.60	FeI 	                 	D  	B
 9354.57	 0.013	   4	1069.00	1068.98	CN  	CN3-2Q_{2}69.5   	D  	B
 9354.41	 0.010	   3	1069.01	1069.02	FeI 	                 	D  	B
 9353.99	 0.056	  11	1069.06	1069.06	CN  	CN1-0P_{2}79.5   	D  	A
 9353.94	 0.051	   9	1069.07	1069.07	FeI 	                 	D  	B
 9352.54	 0.067	  12	1069.23	1069.23	TiI 	                 	D  	B
 9352.23	 0.445	 156	1069.26	1069.26	SiI 	                 	D  	A
 9351.45	 0.017	   5	1069.35	1069.39	TiI 	                 	S  	B
 9350.88	 0.255	 117	1069.42	1069.42	CI  	                 	S  	A
 9350.20	 0.025	   6	1069.50	       	CN  	CN6-5Q_{1}27.5   	S  	F
 9349.53	 0.048	  14	1069.57	1069.57	FeI 	                 	S  	A
 9348.18	 0.431	 164	1069.73	1069.72	SiI 	                 	S  	A
 9347.35	 0.012	   3	1069.82	1069.81	CN  	CN3-2Q_{1}70.5   	X  	B
 9346.93	 0.053	  17	1069.87	1069.86	CN  	CN1-0P_{1}80.5   	S  	A
 9346.25	 0.033	   7	1069.95	1069.94	CeII	                 	S  	F
 9345.63	 0.025	   5	1070.02	       	CN  	CN1-0Q_{2}87.5   	X  	F
 9343.87	 0.027	   5	1070.22	1070.23	CN  	CN2-1P_{2}71.5   	X  	A
 9340.49	 0.023	   5	1070.61	1070.60	FeI 	                 	X  	B
 9340.13	 0.013	   3	1070.65	1070.65	FeI 	                 	X  	B
 9339.56	 0.026	   4	1070.71	1070.71	SiI 	                 	D  	A
 9339.61	 0.043	   6	1070.71	       	CN  	CN1-0Q_{1}88.5   	D  	F
 9338.05	 0.047	  11	1070.89	       	U   	                 	D  	F
 9338.00	 0.043	   3	1070.89	1070.89	CN  	CN3-2P_{2}62.5   	D  	B
 9337.64	 0.010	   3	1070.93	       	U   	                 	S  	F
 9336.81	 0.146	  59	1071.03	1071.03	CI  	                 	S  	A
 9336.24	 0.026	   7	1071.10	1071.09	CN  	CN2-1P_{1}72.5   	S  	A
 9334.53	 0.008	   2	1071.29	1071.29	FeI 	                 	X  	B
 9333.80	 0.029	  12	1071.37	1071.37	CN  	CN2-1Q_{2}79.5   	S  	A
 9331.94	 0.031	  10	1071.59	       	U   	                 	S  	F
 9329.19	 0.009	   3	1071.90	       	CN  	CN6-5Q_{21}39.5  	S  	F
 9327.79	 0.017	   5	1072.07	1072.07	FeI 	                 	X  	B
 9327.32	 0.045	  14	1072.12	1072.12	CN  	CN2-1Q_{1}80.5   	S  	E
 9326.91	 0.025	  10	1072.17	1072.17	FeI 	                 	X  	B
 9326.54	 0.025	   4	1072.21	1072.22	CN  	CN3-2Q_{2}70.5   	S  	B
 9324.37	 0.039	  11	1072.46	1072.46	FeI 	                 	S  	A
 9322.92	 0.016	   4	1072.63	       	U   	                 	S  	F
 9321.31	 0.202	  58	1072.81	1072.81	FeI 	                 	S  	A
 9320.28	 0.342	 107	1072.93	1072.93	TiI 	                 	S  	A
 9319.35	 0.462	 183	1073.04	1073.03	SiI 	                 	T  	A
 9319.29	 0.406	   3	1073.04	1073.04	CN  	CN3-2Q_{1}71.5   	T  	B
 9318.93	 0.047	  10	1073.08	1073.09	CN  	CN1-0P_{2}80.5   	T  	A
 9318.47	 0.017	   5	1073.14	1073.12	CaI 	                 	S  	B
 9317.53	 0.148	  60	1073.25	1073.25	CI  	                 	S  	A
 9316.29	 0.020	   5	1073.39	1073.39	TiI 	                 	S  	A
 9315.41	 0.025	   6	1073.49	1073.49	FeI 	                 	S  	A
 9314.64	 0.204	  58	1073.58	1073.58	TiI 	                 	S  	A
 9312.31	 0.015	   4	1073.85	1073.85	FeI 	                 	S  	B
 9311.89	 0.033	   9	1073.90	1073.89	CN  	CN1-0P_{1}81.5   	D  	A
 9311.74	 0.035	   7	1073.91	1073.91	CN  	CN2-1P_{2}72.5   	D  	A
 9310.91	 0.018	   3	1074.01	       	U   	                 	S  	F
 9310.55	 0.022	   6	1074.05	       	CN  	CN1-0Q_{2}88.5   	S  	F
 9307.08	 0.044	   6	1074.45	1074.45	TiI 	                 	D  	B
 9306.93	 0.079	  20	1074.47	1074.47	SiI 	                 	D  	A
 9306.20	 0.036	   9	1074.55	1074.55	FeI 	                 	S  	B
 9304.50	 0.073	  19	1074.75	1074.75	FeI 	                 	D  	B
 9304.34	 0.032	   7	1074.77	1074.77	CN  	CN2-1P_{1}73.5   	D  	A
 9302.84	 0.086	  24	1074.94	1074.94	NaI 	                 	S  	A
 9301.66	 0.027	  10	1075.08	1075.07	CN  	CN2-1Q_{2}80.5   	S  	E
 9301.24	 0.016	   4	1075.13	1075.13	CN  	CN3-2P_{1}64.5   	S  	B
 9300.83	 0.045	  11	1075.17	       	CN  	CN3-2R_{1}80.5   	T  	F
 9300.36	 0.538	   3	1075.23	1075.22	NaI 	                 	T  	B
 9300.31	 0.587	 268	1075.23	1075.23	SiI 	                 	T  	A
 9298.76	 0.027	   7	1075.41	       	U   	                 	S  	F
 9297.83	 0.009	   2	1075.52	1075.52	CN  	CN3-2Q_{2}71.5   	S  	B
 9297.16	 0.267	  81	1075.60	1075.60	FeI 	                 	S  	A
 9296.33	 0.038	   5	1075.69	1075.69	CI  	                 	T  	A
 9296.13	 0.041	   9	1075.72	1075.72	FeI 	                 	T  	B
 9296.02	 0.037	   9	1075.73	1075.77	FeI 	                 	T  	A
 9295.66	 0.103	  30	1075.77	1075.77	FeI 	                 	S  	B
 9295.25	 0.020	   6	1075.82	       	CN  	CN2-1Q_{1}81.5   	S  	E
 9294.01	 0.009	   3	1075.96	1075.96	TiI 	                 	D  	B
 9293.65	 0.002	   2	1076.00	1076.00	TiI 	                 	D  	B
 9292.93	 0.009	   2	1076.09	       	U   	                 	X  	F
 9290.71	 0.010	   2	1076.34	1076.34	CN  	CN3-2Q_{1}72.5   	S  	B
 9289.21	 0.070	  19	1076.52	1076.52	NiI 	                 	S  	A
 9283.95	 0.019	   5	1077.13	1077.13	AlI 	                 	S  	A
 9283.43	 0.024	   6	1077.19	1077.18	CN  	CN1-0P_{2}81.5   	S  	A
 9282.40	 0.029	   8	1077.31	1077.31	SiI 	                 	S  	B
 9281.47	 0.016	   3	1077.42	1077.42	FeI 	                 	X  	B
 9279.67	 0.016	   4	1077.62	       	U   	                 	X  	F
 9279.31	 0.016	   4	1077.67	1077.66	CN  	CN2-1P_{2}73.5   	S  	A
 9278.33	 0.158	  46	1077.78	1077.78	TiI 	                 	S  	A
 9277.76	 0.038	  12	1077.85	1077.85	FeI 	                 	X  	B
 9276.58	 0.025	   5	1077.98	1077.99	CN  	CN1-0P_{1}82.5   	X  	E
 9274.93	 0.026	   8	1078.18	       	CN  	CN1-0Q_{2}89.5   	S  	F
 9274.51	 0.049	  15	1078.22	       	CN  	CN6-5Q_{21}43.5  	S  	F
 9273.28	 0.155	  43	1078.37	1078.36	FeI 	                 	S  	A
 9272.14	 0.045	  12	1078.50	1078.50	AlI 	                 	D  	A
 9271.99	 0.033	   7	1078.52	1078.52	CN  	CN2-1P_{1}74.5   	D  	B
 9271.27	 0.324	 103	1078.60	1078.60	FeI 	                 	S  	A
 9270.75	 0.025	   6	1078.66	       	U   	                 	S  	F
 9269.98	 0.263	  93	1078.75	1078.75	SiI 	                 	S  	A
 9269.31	 0.061	  11	1078.83	       	U   	                 	T  	F
 9269.26	 0.082	  17	1078.83	1078.83	FeI 	                 	T  	B
 9269.21	 0.082	   6	1078.84	       	CN  	CN2-1Q_{2}81.5   	T  	F
 9268.69	 0.027	   5	1078.90	1078.90	CN  	CN3-2Q_{2}72.5   	S  	B
 9268.02	 0.558	 248	1078.98	1078.98	SiI 	                 	S  	A
 9265.86	 0.039	  10	1079.23	       	U   	                 	S  	F
 9264.06	 0.046	  14	1079.44	1079.44	CaI 	                 	S  	A
 9262.88	 0.020	   5	1079.58	1079.58	CN  	CN2-1Q_{1}82.5   	S  	E
 9262.00	 0.025	   8	1079.68	1079.68	TiI 	                 	S  	B
 9261.74	 0.017	   3	1079.71	       	CN  	CN3-2Q_{1}73.5   	X  	F
 9260.10	 0.074	  23	1079.90	1079.91	SiI 	                 	S  	A
 9259.17	 0.011	   2	1080.01	1080.02	SiI 	                 	S  	A
 9256.81	 0.019	   5	1080.29	       	U   	                 	S  	F
 9255.57	 0.138	  40	1080.43	1080.43	CrI 	                 	S  	A
 9253.16	 0.016	   4	1080.71	1080.72	FeI 	                 	X  	B
 9250.33	 0.012	   3	1081.04	1081.05	FeI 	                 	X  	B
 9247.86	 0.021	   4	1081.33	       	CN  	CN1-0P_{2}82.5   	X  	F
 9247.25	 0.565	  52	1081.40	1081.40	MgI 	                 	Q8 	A
 9247.19	 0.534	  34	1081.41	1081.41	MgI 	                 	Q8 	B
 9247.14	 0.457	  34	1081.42	1081.41	MgI 	                 	Q8 	B
 9247.09	 0.353	   3	1081.42	1081.41	MgI 	                 	Q8 	B
 9247.04	 0.249	  50	1081.43	1081.41	MgI 	                 	Q8 	B
 9246.99	 0.179	  51	1081.43	1081.42	MgI 	                 	Q8 	B
 9246.94	 0.134	  28	1081.44	1081.42	MgI 	                 	Q8 	B
 9246.63	 0.034	   6	1081.48	1081.48	CN  	CN2-1P_{2}74.5   	Q8 	A
 9242.32	 0.097	  24	1081.98	1081.99	CrI 	                 	S  	A
 9241.13	 0.254	  71	1082.12	1082.12	FeI 	                 	D  	A
 9240.88	 0.030	   5	1082.15	       	CN  	CN1-0P_{1}83.5   	D  	F
 9239.34	 0.021	   3	1082.33	1082.33	TiI 	                 	T  	B
 9239.23	 0.024	   4	1082.34	1082.34	CN  	CN2-1P_{1}75.5   	T  	A
 9239.08	 0.028	   5	1082.36	       	CN  	CN1-0Q_2{90.5    	T  	F
 9238.62	 0.071	  12	1082.41	1082.41	SI  	                 	T  	A
 9238.52	 0.076	  13	1082.42	       	U   	                 	T  	F
 9238.26	 0.149	  41	1082.45	1082.46	CrI 	                 	T  	A
 9236.36	 0.017	   3	1082.68	1082.68	CN  	CN2-1Q_{2}82.5   	X  	E
 9235.03	 0.010	   1	1082.83	       	U   	                 	X  	F
 9233.64	 0.637	  25	1083.00	1083.00	CaI 	                 	T  	B
 9233.59	 0.663	 365	1083.00	1083.01	SiI 	                 	T  	A
 9233.39	 0.281	  10	1083.03	1083.03	CaI 	                 	T  	B
 9232.82	 0.041	  10	1083.09	1083.09	TiI 	                 	X  	B
 9232.56	 0.042	   7	1083.12	1083.13	FeI 	                 	X  	B
 9231.59	 0.030	  11	1083.24	1083.22	CaI 	                 	S  	B
 9231.28	 0.033	   8	1083.27	       	U   	                 	X  	F
 9231.08	 0.046	  70	1083.30	1083.33	HeI 	                 	X  	E
 9230.72	 0.040	  14	1083.34	       	U   	                 	X  	F
 9229.95	 0.030	   8	1083.43	1083.42	CN  	CN2-1Q_{1}83.5   	S  	E
 9228.21	 0.057	  17	1083.63	1083.63	CaI 	                 	S  	A
 9227.85	 0.034	   4	1083.68	       	U   	                 	T  	F
 9227.74	 0.052	  11	1083.69	1083.69	FeI 	                 	T  	B
 9227.54	 0.026	   4	1083.71	       	U   	                 	T  	F
 9226.98	 0.208	  41	1083.78	1083.78	NaI 	                 	T  	A
 9226.92	 0.194	   3	1083.78	1083.78	NaI 	                 	T  	B
 9226.87	 0.145	  33	1083.79	1083.79	NaI 	                 	T  	B
 9223.44	 0.130	  36	1084.19	1084.19	CaI 	                 	S  	A
 9220.62	 0.007	   1	1084.53	1084.52	FeI 	                 	X  	B
 9219.34	 0.420	 162	1084.68	1084.68	SiI 	                 	S  	A
 9217.65	 0.006	   1	1084.88	       	U   	                 	X  	F
 9216.83	 0.078	  25	1084.97	1084.98	CaI 	                 	S  	A
 9216.06	 0.010	   3	1085.06	1085.06	TiI 	                 	S  	A
 9214.53	 0.170	  50	1085.24	1085.24	FeI 	                 	S  	A
 9213.55	 0.010	   2	1085.36	1085.36	CN  	CN3-2P_{1}67.5   	X  	B
 9213.45	 0.017	   4	1085.37	1085.37	CN  	CN2-1P_{2}75.5   	X  	A
 9211.51	 0.066	  21	1085.60	1085.60	FeI 	                 	D  	A
 9211.46	 0.062	   8	1085.60	       	CN  	CN1-0P_{2}83.5   	D  	F
 9209.51	 0.006	   1	1085.83	       	CN  	CN3-2Q_{2}74.5   	X  	F
 9207.67	 0.010	   2	1086.05	1086.05	FeI 	                 	X  	B
 9206.19	 0.024	   2	1086.23	1086.23	CN  	CN2-1P_{1}76.5   	X  	A
 9205.98	 0.039	   4	1086.25	       	U   	                 	D  	F
 9205.73	 0.042	   6	1086.28	       	U   	                 	D  	F
 9204.65	 0.022	   6	1086.41	       	CN  	CN1-0P_{1}84.5   	X  	F
 9204.24	 0.053	  15	1086.46	1086.46	CaI 	                 	S  	A
 9203.32	 0.039	  13	1086.56	1086.56	FeII	                 	S  	A
 9202.61	 0.282	  91	1086.65	1086.65	FeI 	                 	D  	A
 9202.30	 0.050	  12	1086.68	1086.68	CaI 	                 	D  	A
 9199.18	 0.023	   4	1087.05	       	U   	                 	X  	F
 9198.16	 0.328	 109	1087.17	1087.18	SiI 	                 	Q4 	A
 9197.55	 0.601	  16	1087.25	1087.25	CaI 	                 	Q4 	B
 9197.50	 0.619	 362	1087.25	1087.25	SiI 	                 	Q4 	A
 9196.83	 0.116	  16	1087.33	1087.34	FeI 	                 	Q4 	B
 9196.42	 0.025	   1	1087.38	1087.39	FeI 	                 	T  	B
 9196.37	 0.026	   3	1087.39	1087.39	FeI 	                 	T  	B
 9196.17	 0.018	   6	1087.41	1087.41	FeI 	                 	T  	B
 9195.81	 0.124	  20	1087.45	1087.45	CN  	CN0-0R_{21}17.5  	Q5 	B
 9195.76	 0.133	  21	1087.46	1087.46	CN  	CN0-0R_{21}16.5  	Q5 	B
 9195.55	 0.075	  19	1087.48	1087.48	CN  	CN0-0R_{21}18.5  	Q5 	B
 9195.30	 0.068	  21	1087.51	1087.52	CN  	CN0-0R_{21}15.5  	Q5 	B
 9195.04	 0.063	  18	1087.54	1087.55	CN  	CN0-0R_{21}19.5  	Q5 	B
 9194.58	 0.120	  43	1087.60	1087.60	AlI 	                 	D  	A
 9194.43	 0.055	  19	1087.61	1087.61	CN  	CN0-0R_{21}14.5  	D  	B
 9194.07	 0.046	  13	1087.66	1087.66	CN  	CN0-0R_{21}20.5  	S  	A
 9193.41	 0.088	  20	1087.74	1087.74	CN  	CN0-0R_{21}13.5  	X  	A
 9192.80	 0.045	  11	1087.81	1087.81	CN  	CN0-0R_{21}21.5  	X  	A
 9192.23	 0.021	   5	1087.87	1087.87	FeI 	                 	D  	B
 9191.93	 0.064	  20	1087.91	1087.91	CN  	CN0-0R_{21}12.5  	D  	A
 9191.16	 0.051	  15	1088.00	1088.00	CN  	CN0-0R_{21}22.5  	S  	A
 9190.19	 0.064	  15	1088.12	1088.12	CN  	CN0-0R_{21}11.5  	D  	A
 9189.17	 0.040	   9	1088.24	1088.24	CN  	CN0-0R_{21}23.5  	X  	A
 9188.76	 0.042	   9	1088.29	1088.28	CaI 	                 	X  	A
 9188.05	 0.064	  15	1088.37	1088.37	CN  	CN0-0R_{21}10.5  	X  	A
 9187.13	 0.237	  72	1088.48	1088.47	FeI 	                 	D  	A
 9186.82	 0.053	  12	1088.52	1088.52	CN  	CN0-0R_{21}24.5  	D  	B
 9186.26	 0.249	  79	1088.58	1088.58	SiI 	                 	S  	A
 9185.65	 0.077	  19	1088.65	1088.65	CN  	CN0-0R_{21}9.5   	S  	A
 9185.04	 0.266	  79	1088.73	1088.72	FeI 	                 	S  	A
 9184.17	 0.337	 104	1088.83	1088.83	SiI 	                 	D  	A
 9184.07	 0.260	  12	1088.84	1088.84	CN  	CN0-0R_{21}25.5  	D  	B
 9181.47	 0.123	  33	1089.15	1089.16	FeI 	                 	X  	B
 9181.11	 0.041	  12	1089.19	1089.20	CN  	CN0-0R_{21}26.5  	S  	A
 9179.94	 0.086	  17	1089.33	1089.33	CN  	CN0-0R_{21}7.5   	D  	A
 9179.88	 0.069	   5	1089.34	1089.34	CN  	CN2-1P_{2}76.5   	D  	B
 9179.17	 0.117	  34	1089.42	1089.43	NiI 	                 	D  	A
 9178.76	 0.132	  48	1089.47	1089.47	AlI 	                 	D  	A
 9177.69	 0.036	   8	1089.60	1089.60	CN  	CN0-0R_{21}27.5  	X  	A
 9177.13	 0.024	   6	1089.67	1089.67	SiI 	                 	X  	A
 9176.62	 0.068	  17	1089.73	1089.73	CN  	CN0-0R_{21}6.5   	S  	A
 9176.21	 0.051	  14	1089.77	1089.78	SiI 	                 	S  	A
 9175.09	 0.094	   6	1089.91	1089.91	TiI 	                 	D  	A
 9174.94	 0.324	  93	1089.93	1089.93	FeI 	                 	D  	A
 9173.92	 0.028	   7	1090.05	1090.05	CN  	CN0-0R_{21}28.5  	X  	A
 9172.95	 0.061	  16	1090.16	1090.16	CN  	CN0-0R_{21}5.5   	X  	A
 9172.70	 0.010	   3	1090.19	1090.19	CN  	CN2-1P_{1}77.5   	X  	B
 9171.27	 0.072	  12	1090.36	       	U   	                 	X  	F
 9169.69	 0.037	   8	1090.55	1090.55	CN  	CN0-0R_{21}29.5  	X  	A
 9169.33	 0.013	   2	1090.59	       	U   	                 	X  	F
 9169.08	 0.068	  20	1090.62	1090.62	CN  	CN0-0R_{21}4.5   	X  	A
 9168.11	 0.013	   2	1090.74	       	CN  	CN1-0P_{1}85.5   	X  	F
 9166.99	 0.291	  74	1090.87	1090.87	CrI 	                 	D  	A
 9166.94	 0.288	  16	1090.88	1090.88	FeI 	                 	D  	B
 9165.87	 0.015	   3	1091.00	       	U   	                 	X  	F
 9165.16	 0.033	   9	1091.09	1091.08	CN  	CN0-0R_{21}30.5  	D  	A
 9164.90	 0.053	  15	1091.12	1091.12	CN  	CN0-0R_{21}3.5   	D  	A
 9164.45	 0.021	   4	1091.17	1091.17	FeI 	                 	X  	B
 9163.53	 0.013	   3	1091.28	1091.28	CaI 	                 	X  	B
 9163.12	 0.013	   3	1091.33	       	CN  	CN3-2P_{12}61.5  	X  	F
 9161.70	 0.008	   2	1091.50	       	U   	                 	X  	F
 9160.83	 0.053	  16	1091.60	       	CN  	CN3-2P_{2}68.5   	S  	F
 9160.42	 0.078	  13	1091.65	1091.65	CN  	CN0-0R_{21}2.5   	Q4 	A
 9160.37	 0.076	   8	1091.66	1091.66	CN  	CN0-0R_{21}31.5  	Q4 	A
 9159.86	 0.069	   6	1091.72	1091.72	MgII	                 	Q4 	B
 9159.30	 0.572	 240	1091.79	1091.79	SrII	                 	Q4 	A
 9156.40	 0.014	   2	1092.13	       	U   	                 	X  	F
 9156.30	 0.014	   3	1092.14	       	U   	                 	X  	F
 9155.74	 0.046	   8	1092.21	1092.21	FeI 	                 	Q5 	B
 9155.59	 0.067	  15	1092.23	1092.22	CN  	CN0-0R_{21}1.5   	Q5 	A
 9155.54	 0.037	   3	1092.23	1092.23	CaI 	                 	Q5 	B
 9155.49	 0.029	   7	1092.24	1092.24	CaI 	                 	Q5 	B
 9155.13	 0.045	   8	1092.28	1092.29	CN  	CN0-0R_{21}32.5  	Q5 	A
 9152.39	 0.023	   7	1092.61	       	CN  	^13CN0-0R_{2}4.5 	X  	F
 9151.93	 0.031	  10	1092.67	       	CN  	^13CN0-0R_{2}7.5 	S  	F
 9150.40	 0.225	  26	1092.85	1092.85	CN  	CN0-0R_{2}5.5    	Q11	B
 9150.30	 0.328	  24	1092.86	1092.86	CN  	CN0-0Q_{21}6.5   	Q11	B
 9150.25	 0.347	  22	1092.87	1092.87	CN  	CN0-0Q_{21}5.5   	Q11	B
 9150.20	 0.333	  30	1092.87	1092.87	CN  	CN0-0R_{2}6.5    	Q11	B
 9150.10	 0.197	  25	1092.88	1092.88	CN  	CN0-0Q_{21}7.5   	Q11	B
 9150.15	 0.278	  22	1092.88	1092.87	CN  	CN0-0R_{2}4.5    	Q11	B
 9149.84	 0.247	  17	1092.91	1092.92	CN  	CN0-0R_{2}3.5    	Q11	B
 9149.79	 0.300	  21	1092.92	1092.92	CN  	CN0-0Q_{21}4.5   	Q11	B
 9149.69	 0.223	  25	1092.93	1092.93	CN  	CN0-0Q_{21}8.5   	Q11	B
 9149.74	 0.292	  34	1092.93	1092.92	CN  	CN0-0R_{2}7.5    	Q11	B
 9149.59	 0.083	   5	1092.95	1092.95	CN  	CN0-0R_{21}33.5  	Q11	B
 9149.13	 0.243	  16	1093.00	1093.00	CN  	CN0-0R_{2}2.5    	Q4 	B
 9149.08	 0.286	  23	1093.01	1093.00	CN  	CN0-0Q_{21}3.5   	Q4 	B
 9149.03	 0.298	  46	1093.01	1093.01	CN  	CN0-0R_{2}8.5    	Q4 	B
 9148.98	 0.264	  31	1093.02	1093.02	CN  	CN0-0Q_{21}9.5   	Q4 	B
 9148.22	 0.141	  12	1093.11	1093.11	CN  	CN0-0R_{2}1.5    	Q4 	B
 9148.17	 0.180	  20	1093.12	1093.12	CN  	CN0-0Q_{21}2.5   	Q4 	B
 9148.01	 0.272	  52	1093.13	1093.14	CN  	CN0-0R_{2}9.5    	Q4 	B
